service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at
marc,11705,Train401,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:38:58Z,2026-02-26T09:38:56Z,2026-02-26T09:38:43Z,2026-02-26T09:39:26Z,2026-02-26T10:04:15Z
marc,11705,Train401,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:33:20Z,2026-02-26T10:36:40Z,2026-02-26T10:04:15Z
marc,11705,Train403,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:58:22Z,2026-02-26T09:57:44Z,2026-02-26T09:57:34Z,2026-02-26T09:57:08Z,2026-02-26T10:04:15Z
marc,11705,Train403,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:53:00Z,2026-02-26T10:53:00Z,2026-02-26T10:04:15Z
marc,11705,Train505,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T10:21:22Z,2026-02-26T10:24:44Z,2026-02-26T10:20:42Z,2026-02-26T10:24:04Z,2026-02-26T10:04:15Z
marc,11705,Train505,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T11:13:22Z,2026-02-26T11:16:44Z,2026-02-26T10:04:15Z
amtrak,NER,66,2026-02-26,BAL,Baltimore Penn Station,2026-02-25T22:51:00-05:00,2026-02-25T22:51:00-05:00,2026-02-25T22:49:00-05:00,2026-02-25T22:49:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,66,2026-02-26,WAS,Washington Union Station,2026-02-25T22:00:00-05:00,2026-02-25T22:00:00-05:00,2026-02-25T21:28:00-05:00,2026-02-25T21:27:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,67,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:04:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,67,2026-02-26,WAS,Washington Union Station,2026-02-26T07:20:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,151,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:10:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,151,2026-02-26,WAS,Washington Union Station,2026-02-26T07:30:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,160,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:08:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,160,2026-02-26,WAS,Washington Union Station,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,164,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T10:01:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T10:04:15Z
amtrak,NER,164,2026-02-26,WAS,Washington Union Station,2026-02-26T09:20:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T10:04:15Z
marc,11705,Train401,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:38:58Z,2026-02-26T09:38:56Z,2026-02-26T09:38:43Z,2026-02-26T09:39:26Z,2026-02-26T10:07:16Z
marc,11705,Train401,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:33:21Z,2026-02-26T10:36:42Z,2026-02-26T10:07:16Z
