service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train404,2026-04-13,11958,UNION STATION MARC Washington,2026-04-13T10:40:00Z,2026-04-13T10:41:20Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train404,2026-04-13,12002,PENN STATION MARC nb,NA,NA,2026-04-13T11:36:00Z,2026-04-13T11:36:00Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train408,2026-04-13,11958,UNION STATION MARC Washington,2026-04-13T11:00:00Z,2026-04-13T11:01:00Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train408,2026-04-13,12002,PENN STATION MARC nb,NA,NA,2026-04-13T11:44:00Z,2026-04-13T11:44:27Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train409,2026-04-13,11980,PENN STATION MARC sb,2026-04-13T10:20:00Z,2026-04-13T10:31:06Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train409,2026-04-13,11958,UNION STATION MARC Washington,NA,NA,2026-04-13T11:28:00Z,2026-04-13T11:40:46Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train415,2026-04-13,11980,PENN STATION MARC sb,2026-04-13T11:00:00Z,2026-04-13T11:00:00Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train415,2026-04-13,11958,UNION STATION MARC Washington,NA,NA,2026-04-13T12:02:00Z,2026-04-13T12:02:41Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train413,2026-04-13,11980,PENN STATION MARC sb,2026-04-13T10:40:00Z,2026-04-13T10:40:00Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train413,2026-04-13,11958,UNION STATION MARC Washington,NA,NA,2026-04-13T11:43:00Z,2026-04-13T11:46:16Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train517,2026-04-13,11980,PENN STATION MARC sb,2026-04-13T11:20:00Z,2026-04-13T11:22:45Z,2026-04-13T11:16:05Z,2026-04-13T11:18:50Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train517,2026-04-13,11958,UNION STATION MARC Washington,NA,NA,2026-04-13T12:19:00Z,2026-04-13T12:21:45Z,2026-04-13T11:10:11Z,75.7
marc,11705,Train502,2026-04-13,11958,UNION STATION MARC Washington,2026-04-13T10:12:00Z,2026-04-13T10:13:32Z,NA,NA,2026-04-13T11:10:11Z,75.7
marc,11705,Train502,2026-04-13,12002,PENN STATION MARC nb,2026-04-13T11:21:00Z,2026-04-13T11:22:21Z,2026-04-13T11:19:00Z,2026-04-13T11:20:21Z,2026-04-13T11:10:11Z,75.7
