service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train410,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T11:15:00Z,2026-06-24T11:29:46Z,NA,NA,2026-06-24T12:14:38Z,79.3
marc,11705,Train410,2026-06-24,12002,PENN STATION MARC nb,NA,NA,2026-06-24T12:17:00Z,2026-06-24T12:44:55Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train415,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:00:00Z,2026-06-24T11:18:03Z,NA,NA,2026-06-24T12:14:38Z,79.3
marc,11705,Train415,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:02:00Z,2026-06-24T12:28:42Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train419,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:50:00Z,2026-06-24T11:51:04Z,NA,NA,2026-06-24T12:14:38Z,79.3
marc,11705,Train419,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:53:00Z,2026-06-24T12:53:47Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train502,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T10:12:00Z,2026-06-24T10:14:02Z,NA,NA,2026-06-24T12:14:38Z,79.3
marc,11705,Train502,2026-06-24,12002,PENN STATION MARC nb,2026-06-24T11:21:00Z,2026-06-24T11:23:37Z,2026-06-24T11:19:00Z,2026-06-24T11:18:53Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train517,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:20:00Z,2026-06-24T11:20:46Z,2026-06-24T11:16:05Z,2026-06-24T11:17:07Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train517,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:19:00Z,2026-06-24T12:35:16Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train610,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T11:50:00Z,2026-06-24T11:50:55Z,NA,NA,2026-06-24T12:14:38Z,79.3
marc,11705,Train610,2026-06-24,12002,PENN STATION MARC nb,2026-06-24T12:46:00Z,2026-06-24T12:48:27Z,2026-06-24T12:40:15Z,2026-06-24T12:42:42Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,66,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T02:51:00Z,2026-06-24T04:32:00Z,2026-06-24T02:49:00Z,2026-06-24T04:29:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,66,2026-06-24,WAS,Washington Union Station,2026-06-24T02:00:00Z,2026-06-24T03:51:00Z,2026-06-24T01:28:00Z,2026-06-24T03:23:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,67,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T10:04:00Z,2026-06-24T10:04:00Z,2026-06-24T10:02:00Z,2026-06-24T09:57:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,67,2026-06-24,WAS,Washington Union Station,2026-06-24T11:20:00Z,2026-06-24T11:20:00Z,2026-06-24T10:54:00Z,2026-06-24T10:51:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,86,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T13:33:00Z,2026-06-24T14:44:00Z,2026-06-24T13:31:00Z,2026-06-24T14:44:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,86,2026-06-24,WAS,Washington Union Station,2026-06-24T12:50:00Z,2026-06-24T13:47:00Z,2026-06-24T12:18:00Z,2026-06-24T13:47:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,94,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T18:43:00Z,2026-06-24T18:43:00Z,2026-06-24T18:41:00Z,2026-06-24T18:41:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,94,2026-06-24,WAS,Washington Union Station,2026-06-24T18:00:00Z,2026-06-24T18:00:00Z,2026-06-24T17:23:00Z,2026-06-24T17:23:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,95,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T17:27:00Z,2026-06-24T17:18:00Z,2026-06-24T17:18:00Z,2026-06-24T17:18:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,95,2026-06-24,WAS,Washington Union Station,2026-06-24T18:35:00Z,2026-06-24T18:06:00Z,2026-06-24T18:05:00Z,2026-06-24T18:06:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,111,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T11:40:00Z,2026-06-24T11:40:00Z,2026-06-24T11:38:00Z,2026-06-24T11:30:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,111,2026-06-24,WAS,Washington Union Station,2026-06-24T12:26:00Z,2026-06-24T12:26:00Z,2026-06-24T12:26:00Z,2026-06-24T12:26:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,112,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T12:27:00Z,2026-06-24T12:25:00Z,2026-06-24T12:25:00Z,2026-06-24T12:25:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,112,2026-06-24,WAS,Washington Union Station,2026-06-24T11:45:00Z,2026-06-24T11:45:00Z,2026-06-24T11:45:00Z,2026-06-24T11:45:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,113,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T13:09:00Z,2026-06-24T13:09:00Z,2026-06-24T13:07:00Z,2026-06-24T13:09:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,113,2026-06-24,WAS,Washington Union Station,2026-06-24T13:55:00Z,NA,2026-06-24T13:55:00Z,NA,2026-06-24T12:14:38Z,79.3
amtrak,NER,125,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T18:28:00Z,2026-06-24T18:26:00Z,2026-06-24T18:25:00Z,2026-06-24T18:26:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,125,2026-06-24,WAS,Washington Union Station,2026-06-24T19:50:00Z,2026-06-24T19:11:00Z,2026-06-24T19:11:00Z,2026-06-24T19:11:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,130,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T11:17:00Z,2026-06-24T11:27:00Z,2026-06-24T11:15:00Z,2026-06-24T11:25:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,130,2026-06-24,WAS,Washington Union Station,2026-06-24T10:30:00Z,2026-06-24T10:30:00Z,2026-06-24T10:30:00Z,2026-06-24T10:30:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,141,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T15:04:00Z,2026-06-24T15:02:00Z,2026-06-24T15:02:00Z,2026-06-24T15:02:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,141,2026-06-24,WAS,Washington Union Station,2026-06-24T15:45:00Z,2026-06-24T15:44:00Z,2026-06-24T15:45:00Z,2026-06-24T15:44:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,151,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T10:10:00Z,2026-06-24T10:14:00Z,2026-06-24T10:08:00Z,2026-06-24T10:13:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,151,2026-06-24,WAS,Washington Union Station,2026-06-24T11:30:00Z,2026-06-24T11:30:00Z,2026-06-24T10:58:00Z,2026-06-24T10:56:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,170,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T09:44:00Z,2026-06-24T09:44:00Z,2026-06-24T09:42:00Z,2026-06-24T09:42:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,170,2026-06-24,WAS,Washington Union Station,2026-06-24T09:05:00Z,2026-06-24T09:05:00Z,2026-06-24T09:05:00Z,2026-06-24T09:05:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,171,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T19:33:00Z,2026-06-24T19:33:00Z,2026-06-24T19:30:00Z,2026-06-24T19:30:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,171,2026-06-24,WAS,Washington Union Station,2026-06-24T21:00:00Z,2026-06-24T21:00:00Z,2026-06-24T20:25:00Z,2026-06-24T20:25:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,172,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T11:50:00Z,2026-06-24T11:55:00Z,2026-06-24T11:48:00Z,2026-06-24T11:51:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,172,2026-06-24,WAS,Washington Union Station,2026-06-24T11:06:00Z,2026-06-24T11:06:00Z,2026-06-24T11:06:00Z,2026-06-24T11:06:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,181,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T12:26:00Z,2026-06-24T12:19:00Z,2026-06-24T12:23:00Z,2026-06-24T12:19:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,181,2026-06-24,WAS,Washington Union Station,2026-06-24T13:06:00Z,2026-06-24T13:06:00Z,2026-06-24T13:06:00Z,2026-06-24T13:06:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,183,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T14:32:00Z,2026-06-24T14:29:00Z,2026-06-24T14:29:00Z,2026-06-24T14:29:00Z,2026-06-24T12:14:38Z,79.3
amtrak,NER,183,2026-06-24,WAS,Washington Union Station,2026-06-24T15:16:00Z,2026-06-24T15:16:00Z,2026-06-24T15:16:00Z,2026-06-24T15:16:00Z,2026-06-24T12:14:38Z,79.3
marc,11705,Train410,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T11:15:00Z,2026-06-24T11:29:46Z,NA,NA,2026-06-24T12:17:39Z,80.4
marc,11705,Train410,2026-06-24,12002,PENN STATION MARC nb,NA,NA,2026-06-24T12:17:00Z,2026-06-24T12:46:08Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train415,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:00:00Z,2026-06-24T11:18:03Z,NA,NA,2026-06-24T12:17:39Z,80.4
marc,11705,Train415,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:02:00Z,2026-06-24T12:28:37Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train419,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:50:00Z,2026-06-24T11:51:04Z,NA,NA,2026-06-24T12:17:39Z,80.4
marc,11705,Train419,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:53:00Z,2026-06-24T12:53:54Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train502,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T10:12:00Z,2026-06-24T10:14:02Z,NA,NA,2026-06-24T12:17:39Z,80.4
marc,11705,Train502,2026-06-24,12002,PENN STATION MARC nb,2026-06-24T11:21:00Z,2026-06-24T11:23:37Z,2026-06-24T11:19:00Z,2026-06-24T11:18:53Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train517,2026-06-24,11980,PENN STATION MARC sb,2026-06-24T11:20:00Z,2026-06-24T11:20:46Z,2026-06-24T11:16:05Z,2026-06-24T11:17:07Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train517,2026-06-24,11958,UNION STATION MARC Washington,NA,NA,2026-06-24T12:19:00Z,2026-06-24T12:37:46Z,2026-06-24T12:17:39Z,80.4
marc,11705,Train610,2026-06-24,11958,UNION STATION MARC Washington,2026-06-24T11:50:00Z,2026-06-24T11:50:55Z,NA,NA,2026-06-24T12:17:39Z,80.4
marc,11705,Train610,2026-06-24,12002,PENN STATION MARC nb,2026-06-24T12:46:00Z,2026-06-24T12:46:00Z,2026-06-24T12:40:15Z,2026-06-24T12:40:15Z,2026-06-24T12:17:39Z,80.4
amtrak,NER,66,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T02:51:00Z,2026-06-24T04:32:00Z,2026-06-24T02:49:00Z,2026-06-24T04:29:00Z,2026-06-24T12:17:39Z,80.4
amtrak,NER,66,2026-06-24,WAS,Washington Union Station,2026-06-24T02:00:00Z,2026-06-24T03:51:00Z,2026-06-24T01:28:00Z,2026-06-24T03:23:00Z,2026-06-24T12:17:39Z,80.4
amtrak,NER,67,2026-06-24,BAL,Baltimore Penn Station,2026-06-24T10:04:00Z,2026-06-24T10:04:00Z,2026-06-24T10:02:00Z,2026-06-24T09:57:00Z,2026-06-24T12:17:39Z,80.4
