service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train404,2026-07-17,11958,UNION STATION MARC Washington,2026-07-17T10:40:00Z,2026-07-17T10:40:57Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train404,2026-07-17,12002,PENN STATION MARC nb,NA,NA,2026-07-17T11:36:00Z,2026-07-17T11:36:00Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train408,2026-07-17,11958,UNION STATION MARC Washington,2026-07-17T11:00:00Z,2026-07-17T11:01:01Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train408,2026-07-17,12002,PENN STATION MARC nb,NA,NA,2026-07-17T11:44:00Z,2026-07-17T11:42:30Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train409,2026-07-17,11980,PENN STATION MARC sb,2026-07-17T10:20:00Z,2026-07-17T10:21:02Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train409,2026-07-17,11958,UNION STATION MARC Washington,NA,NA,2026-07-17T11:28:00Z,2026-07-17T11:35:13Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train413,2026-07-17,11980,PENN STATION MARC sb,2026-07-17T10:40:00Z,2026-07-17T10:40:00Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train413,2026-07-17,11958,UNION STATION MARC Washington,NA,NA,2026-07-17T11:43:00Z,2026-07-17T11:44:34Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train415,2026-07-17,11980,PENN STATION MARC sb,2026-07-17T11:00:00Z,2026-07-17T11:00:00Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train415,2026-07-17,11958,UNION STATION MARC Washington,NA,NA,2026-07-17T12:02:00Z,2026-07-17T12:03:00Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train517,2026-07-17,11980,PENN STATION MARC sb,2026-07-17T11:20:00Z,2026-07-17T11:20:00Z,2026-07-17T11:16:05Z,2026-07-17T11:15:18Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train517,2026-07-17,11958,UNION STATION MARC Washington,NA,NA,2026-07-17T12:19:00Z,2026-07-17T12:19:00Z,2026-07-17T11:15:12Z,67.2
marc,11705,Train502,2026-07-17,11958,UNION STATION MARC Washington,2026-07-17T10:12:00Z,2026-07-17T10:13:21Z,NA,NA,2026-07-17T11:15:12Z,67.2
marc,11705,Train502,2026-07-17,12002,PENN STATION MARC nb,2026-07-17T11:26:00Z,2026-07-17T11:26:00Z,2026-07-17T11:24:00Z,2026-07-17T11:20:52Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,66,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T02:51:00Z,2026-07-17T05:44:00Z,2026-07-17T02:49:00Z,2026-07-17T05:42:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,66,2026-07-17,WAS,Washington Union Station,2026-07-17T02:00:00Z,2026-07-17T05:02:00Z,2026-07-17T01:28:00Z,2026-07-17T04:39:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,67,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T10:04:00Z,2026-07-17T10:11:00Z,2026-07-17T10:02:00Z,2026-07-17T10:07:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,67,2026-07-17,WAS,Washington Union Station,2026-07-17T11:20:00Z,2026-07-17T11:24:00Z,2026-07-17T10:54:00Z,2026-07-17T11:04:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,86,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T13:32:00Z,2026-07-17T13:30:00Z,2026-07-17T13:30:00Z,2026-07-17T13:30:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,86,2026-07-17,WAS,Washington Union Station,2026-07-17T12:50:00Z,2026-07-17T12:18:00Z,2026-07-17T12:18:00Z,2026-07-17T12:18:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,95,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T17:29:00Z,2026-07-17T17:20:00Z,2026-07-17T17:20:00Z,2026-07-17T17:20:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,95,2026-07-17,WAS,Washington Union Station,2026-07-17T18:35:00Z,2026-07-17T18:08:00Z,2026-07-17T18:07:00Z,2026-07-17T18:08:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,111,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T11:36:00Z,2026-07-17T11:37:00Z,2026-07-17T11:34:00Z,2026-07-17T11:37:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,111,2026-07-17,WAS,Washington Union Station,2026-07-17T12:22:00Z,2026-07-17T12:19:00Z,2026-07-17T12:22:00Z,2026-07-17T12:19:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,112,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T12:22:00Z,2026-07-17T12:22:00Z,2026-07-17T12:20:00Z,2026-07-17T12:20:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,112,2026-07-17,WAS,Washington Union Station,2026-07-17T11:40:00Z,2026-07-17T11:40:00Z,2026-07-17T11:40:00Z,2026-07-17T11:40:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,113,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T13:07:00Z,2026-07-17T13:07:00Z,2026-07-17T13:05:00Z,2026-07-17T13:05:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,113,2026-07-17,WAS,Washington Union Station,2026-07-17T13:53:00Z,2026-07-17T13:53:00Z,2026-07-17T13:53:00Z,2026-07-17T13:53:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,125,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T18:28:00Z,2026-07-17T18:28:00Z,2026-07-17T18:25:00Z,2026-07-17T18:26:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,125,2026-07-17,WAS,Washington Union Station,2026-07-17T19:50:00Z,2026-07-17T19:50:00Z,2026-07-17T19:11:00Z,2026-07-17T19:11:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,130,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T11:05:00Z,2026-07-17T11:05:00Z,2026-07-17T11:03:00Z,2026-07-17T10:56:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,130,2026-07-17,WAS,Washington Union Station,2026-07-17T10:20:00Z,2026-07-17T10:20:00Z,2026-07-17T10:20:00Z,2026-07-17T10:20:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,141,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T15:00:00Z,2026-07-17T14:58:00Z,2026-07-17T14:58:00Z,2026-07-17T14:58:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,141,2026-07-17,WAS,Washington Union Station,2026-07-17T15:41:00Z,2026-07-17T15:40:00Z,2026-07-17T15:41:00Z,2026-07-17T15:40:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,151,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T10:10:00Z,2026-07-17T10:17:00Z,2026-07-17T10:08:00Z,2026-07-17T10:12:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,151,2026-07-17,WAS,Washington Union Station,2026-07-17T11:30:00Z,2026-07-17T11:32:00Z,2026-07-17T10:58:00Z,2026-07-17T11:08:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,170,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T09:44:00Z,2026-07-17T09:44:00Z,2026-07-17T09:42:00Z,2026-07-17T09:41:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,170,2026-07-17,WAS,Washington Union Station,2026-07-17T09:05:00Z,2026-07-17T09:05:00Z,2026-07-17T09:05:00Z,2026-07-17T09:05:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,171,2026-07-17,BAL,Baltimore Penn Station,2026-07-17T19:35:00Z,2026-07-17T19:35:00Z,2026-07-17T19:32:00Z,2026-07-17T19:32:00Z,2026-07-17T11:15:12Z,67.2
amtrak,NER,171,2026-07-17,WAS,Washington Union Station,2026-07-17T21:00:00Z,2026-07-17T21:00:00Z,2026-07-17T20:27:00Z,2026-07-17T20:27:00Z,2026-07-17T11:15:12Z,67.2
