service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
marc,11705,Train404,2026-03-24,11958,UNION STATION MARC Washington,2026-03-24T10:40:00Z,2026-03-24T10:40:00Z,NA,NA,2026-03-24T10:42:52Z,86.5
marc,11705,Train404,2026-03-24,12002,PENN STATION MARC nb,NA,NA,2026-03-24T11:36:00Z,2026-03-24T11:36:53Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train400,2026-03-24,11958,UNION STATION MARC Washington,2026-03-24T09:40:00Z,2026-03-24T09:41:10Z,NA,NA,2026-03-24T10:42:52Z,86.5
marc,11705,Train400,2026-03-24,12002,PENN STATION MARC nb,NA,NA,2026-03-24T10:43:00Z,2026-03-24T10:50:24Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train409,2026-03-24,11980,PENN STATION MARC sb,2026-03-24T10:20:00Z,2026-03-24T10:20:00Z,NA,NA,2026-03-24T10:42:52Z,86.5
marc,11705,Train409,2026-03-24,11958,UNION STATION MARC Washington,NA,NA,2026-03-24T11:28:00Z,2026-03-24T11:28:07Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train413,2026-03-24,11958,UNION STATION MARC Washington,NA,NA,2026-03-24T11:43:00Z,2026-03-24T11:43:00Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train502,2026-03-24,11958,UNION STATION MARC Washington,2026-03-24T10:12:00Z,2026-03-24T10:13:10Z,NA,NA,2026-03-24T10:42:52Z,86.5
marc,11705,Train502,2026-03-24,12002,PENN STATION MARC nb,2026-03-24T11:21:00Z,2026-03-24T11:24:43Z,2026-03-24T11:19:00Z,2026-03-24T11:22:43Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train517,2026-03-24,11980,PENN STATION MARC sb,2026-03-24T11:20:00Z,2026-03-24T11:21:24Z,2026-03-24T11:16:05Z,2026-03-24T11:17:29Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train517,2026-03-24,11958,UNION STATION MARC Washington,NA,NA,2026-03-24T12:19:00Z,2026-03-24T12:20:24Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train511,2026-03-24,11980,PENN STATION MARC sb,2026-03-24T09:53:00Z,2026-03-24T09:57:10Z,2026-03-24T09:52:05Z,2026-03-24T09:56:49Z,2026-03-24T10:42:52Z,86.5
marc,11705,Train511,2026-03-24,11958,UNION STATION MARC Washington,NA,NA,2026-03-24T10:48:00Z,2026-03-24T10:51:14Z,2026-03-24T10:42:52Z,86.5
